Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
4,So let’s talk a little bit about your duties.,The Interviewer,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
18,"No, I-I-I-I don't, I actually don't know",Rachel,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
40,He was with her when he wrote this poem.,Phoebe,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
53,Hi.,Rachel,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
69,Which part exactly?,Joey,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
71,"Oh no-no-no, give me some specifics.",Joey,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
83,Look!,Chandler,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
87,"Or, call an ambulance.",Chandler,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
95,All right.,Customer,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
145,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
151,"Yes, please!  So, what's going on?",Ross,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,negative,17,6,5,19,"00:06:40,817","00:06:43,735"
187,I'll get it! I will get that!,Ross,positive,17,8,5,19,"0:06:49,793","0:06:50,887"
188,Hi!,Caitlin,positive,17,9,5,19,"0:06:53,538","0:06:54,665"
194,"Uhh,",Ross,neutral,18,4,5,21,"00:05:19,277","00:05:22,279"
198,I have to pee. And Rachel's in the bathroom!,Joey,negative,18,8,5,21,"00:05:30,330","00:05:34,166"
200,"I know!  Don't switch hands, okay?",Ross,negative,18,10,5,21,"00:05:42,383","00:05:45,969"
202,Hey!,Phoebe,neutral,19,1,1,1,"0:10:14,990","0:10:15,133"
213,Didn’t you sleep together?,Phoebe,neutral,20,10,7,7,"0:11:11,629","0:11:12,811"
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,21,12,1,4,"0:02:29,023","0:02:30,900"
234,Ew! What is that? Something exploded!,Joey,negative,22,0,1,23,"00:09:00,248","00:09:03,667"
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
240,How can you not know which one?,Phoebe,negative,23,2,3,11,"0:10:20,870","0:10:22,422"
